,#,T a n g g a l,N e g a r a,K o t a,P i m p i n a n   T u a n   R u m a h,K e t e r a n g a n   /   R e f .
0,ke-1,14 Desember 2005,Malaysia,Kuala Lumpur,Perdana Menteri Abdullah Ahmad Badawi,Presiden Rusia hadir sebagai tamu undangan.
1,ke-2,15 Januari 2007,Filipina,Mandaue,Presiden Gloria Macapagal Arroyo,"KTT dijadwalkan ulang dari sebelumnya 13 Desember 2006, menjadi 15 Januari 2007.Cebu Keamanan Energi Asia Timur."
2,ke-3,21 November 2007,Singapura,Singapore,Perdana Menteri Lee Hsien Loong,"Singapura mendeklarasikan tentang Perubahan Iklim, Energi dan Lingkungan[4]Terjadi kesepakatan untuk mendirikan Economic Research Institute for ASEAN and East Asia (ERIA)."
3,ke-4,25 Oktober 2009,Thailand,Cha-am & Hua Hin,Perdana Menteri Abhisit Vejjajiva,"Thailand direncanakan menjadi tuan rumah KTT Asia Timur. Namun pada bulan Oktober Tahun 2008 akhir, KTT direncanakan akan dialihkan dari Bangkok ke Chiang Mai karena adanya kekhawatiran tentang kerusuhan politik yang terjadi di Bangkok.[5]"
4,ke-5,30 Oktober 2010,Vietnam,Hanoi,Presiden Nguyễn Minh Triết,Menteri Luar Negeri Amerika Serikat dan Menteri Luar Negeri Rusia menghadiri pertemuan. Amerika Serikat dan Rusia bergabung secara resmi kedalam forum pada KTT Asia Timur ke-6 yang diadakan di Indonesia.
5,ke-6,18–19 November 2011,Indonesia,Bali,Presiden Susilo Bambang Yudhoyono,Amerika Serikat dan Rusia bergabung kedalam Forum.
6,ke-7,19–20 November 2012,Kamboja,Phnom Penh,Perdana Menteri Hun Sen,Ketegangan terhadap sengketa laut China Selatan dan Laut China Timur menjadi upaya untuk memajukan pengaturan perdagangan dan ekonomi setiap anggota KTT.[6]
7,ke-8,9–10 Oktober 2013,Brunei,Bandar Seri Begawan,Sultan Hassanal Bolkiah,
8,ke-9,12–13 November 2014,Myanmar,Naypyidaw,Presiden Thein Sein,
9,ke-10,21–22 November 2015,Malaysia,Kuala Lumpur,Perdana Menteri Najib Razak,
10,ke-11,6–8 September 2016,Laos,Vientiane,Perdana Menteri Thongloun Sisoulith,
11,ke-12,13–14 November 2017,Filipina,Pasay,Presiden Rodrigo Duterte,Perdana Menteri Kanada hadir sebagai tamu undangan.
12,ke-13,14–15 November 2018,Singapura,Singapore,Perdana Menteri Lee Hsien Loong,"Presiden Rusia Vladimir Putin, menghadiri pertemuan ini.[7]"
13,ke-14,4 November 2019,Thailand,Bangkok,Perdana Menteri Prayut Chan-o-cha,
14,ke-15,14 November 2020,Vietnam,Hanoi (dilaksanakan secara daring),Perdana Menteri Nguyễn Xuân Phúc,"KTT diadakan secara daring karena pandemi COVID-19 dan diselenggarakan oleh Vietnam, di mana KTT awalnya akan dijadwalkan dihadiri secara langsung.[8]"
15,ke-16,26–27 Oktober 2021,Brunei,Bandar Seri Begawan (dilaksanakan secara dariang),Sultan Hassanal Bolkiah,"KTT diadakan secara daring karena pandemi COVID-19 yang diselenggarakan oleh Brunei, di mana KTT awalnya dijadwalkan dihadiri secara langsung."
16,ke-17,2022,Kamboja,Phnom Penh,Perdana Menteri Hun Sen,
