,N a m a,A l a m a t   w e b,D i l u n c u r k a n,K e t e r a n g a n
0,Wikipedia,wikipedia.org,15 Januari 2001,Ensiklopedia saat ini memiliki lebih dari 20 juta artikel dalam lebih dari 290 bahasa.[17]
1,Meta-Wiki,meta.wikimedia.org,09 November 2001,Wiki untuk koordinasi antar proyek.
2,MediaWiki,mediawiki.org,25 Januari 2002,Perangkat lunak Wiki
3,Wiktionary,wiktionary.org,12 Desember 2002,"Kamus, sinonim, etimologi dan terjemahan."
4,Wikiquote,wikiquote.org,10 Juli 2003,Koleksi kutipan.
5,Wikibooks,wikibooks.org,19 Juli 2003,Koleksi bahan edukasi dan bahan ajar bebas.
6,Wikisource,wikisource.org,24 November 2003,Proyek untuk penerjemahan dokumen sumber bebas.
7,Wikimedia Commons,commons.wikimedia.org,07 September 2004,"Gudang penyimpanan gambar, suara, video dan media umum, berisi lebih dari 12 juta berkas."
8,Wikispecies,species.wikimedia.org,14 September 2004,"Direktori data spesies tentang binatang, tanaman, fungi, bakteria, archaea, protista dan bentuk kehidupan lainnya."
9,Wikinews,wikinews.org,08 November 2004,Sumber berita asli oleh citizen journalists.
10,Wikimania,wikimania.wikimedia.org,04 Agustus 2005,Situs konferensi Wikimania
11,Wikipedia Test Wiki,test.wikipedia.org (Test 1)test.wikipedia.org (Test 2),13 Januari 2006,Wiki ujicoba dengan versi MediaWiki paling mutakhir
12,Wikimedia Incubator,incubator.wikimedia.org,02 Juni 2006,Digunakan untuk ujicoba bahasa baru yang akan ditambahkan ke proyek
13,Wikiversity,wikiversity.org,15 Agustus 2006,Aktivitas edukasi dan hasil riset.
14,Wikivoyage,wikivoyage.org,10 Desember 2006,Panduan perjalanan
15,Wikipedia Usability Initiative,usability.wikimedia.org,04 Februari 2009,Wiki untuk tim usability
16,Wikimedia Strategic planning,strategy.wikimedia.org,23 Juli 2009,Untuk perencanaan strategis Wikimedia (sekarang dikunci)
17,Wikimedia Outreach,outreach.wikimedia.org,27 Oktober 2009,Promosi proyek-proyek Wikimedia
18,Wikidata,wikidata.org,30 Oktober 2012,Basis pengetahuan bebas
