,P r o t o - I n d o - I r a n,P e r s i a   K u n o,P e r s i a   P e r t e n g a h a n,P e r s i a   M o d e r n,a r t i
0,*Hasura MazdʰaH,Auramazdā (𐎠𐎢𐎼𐎶𐏀𐎭𐎠),Ohrmazd 𐭠𐭥𐭧𐭥𐭬𐭦𐭣,Hormazd هرمزد,Ahura Mazda (dewa tertinggi)
1,*Haĉwas,aspa,asp,asb اسب/asp اسپ,kuda
2,*kaHmas,kāma (𐎣𐎠𐎶),kām,kām کام,hasrat
3,*daywas,daiva (𐎭𐎡𐎺),dēw,div دیو,iblis
4,*ĵrayas,drayah (𐎭𐎼𐎹),drayā,daryā دریا,laut
5,*ĵʰastas,dasta (𐎭𐎿𐎫),dast 𐭩𐭣𐭤,dast دست,tangan
6,*bʰagas,bāji,bāj,bāj باج/باژ,biaya
7,*bʰraHtā,brātar (𐎲𐎼𐎠𐎫𐎠),brâdar,barādar برادر,saudara laki-laki
8,*bʰuHmiš,būmi (𐏏),būm 𐭡𐭥𐭬,būm بوم,"wilayah, tanah"
9,*martyas,martya (𐎶𐎼𐎫𐎡𐎹),mard,mard مرد,orang
10,*māHas,māha (𐎶𐎠𐏃),māh 𐭡𐭩𐭥𐭧,māh ماه,bulan
11,*wasr̥,vāhara,wahār,bahār بهار,musim semi
12,*stʰuHnaH,stūnā (𐎿𐎬𐎢𐎴𐎠),stūn,sotūn ستون,berdiri (kolom)
13,*ĉyaHtas,šiyāta (𐏁𐎡𐎹𐎠𐎫),šād,šād شاد,bahagia
14,*Hr̥tas,arta,ard,ord ارد,"ketertiban, kebenaran"
15,*dʰrawgʰas,druj (𐎭𐎼𐎢𐎥),drugh,dorugh دروغ,berbohong
16,*ĉwáHdʰaH,spada,spah 𐭮𐭯𐭠𐭧,sepah سپاه,pasukan
