,B a h a s a   P r a n c i s   S w i s s,B a h a s a   P r a n c i s   S t a n d a r,T e r j e m a h a n
0,action,promotion,penawaran khusus
1,attique,dernier étage,lantai paling atas
2,bancomat,guichet automatique bancaire,ATM
3,biffer,rayer/barrer quelque chose d'écrit,memulai dari awal/hapus
4,bobet,bête atau stupide,bodoh
5,boguet,mobylette,moped/motor berpedal
6,bonnard,sympa atau bien,baik
7,bonne-main,pourboire,tip (seperti uang yang diberikan untuk tukang parkir)
8,borne hydrante,bouche d'incendie,keran kebakaran (fire hydrant)
9,bourbine,suisse-allemand,Swiss-Jerman
10,carnotzet,cave à vin/cellier/fumoir,gudang anggur; tetapi istilah-istilah ini jarang digunakan di wilayah Prancis dekat Swiss
11,chenis,désordre,kekacauan
12,chiquelette,chewing-gum,permen karet
13,gymnase (Vaud) atau collège (Jenewa),lycée,SMA
14,cornet,sac en plastique,kantong plastik
15,cycle,collège,SMP
16,déjeuner,petit-déjeuner,sarapan
17,dent de lion,pissenlit,dandelion
18,dîner,déjeuner,makan siang
19,s'encoubler,se prendre les pieds dans quelque chose/trébucher,tersandung
20,s'énuquer,se briser la nuque,mematahkan leher seseorang
21,étude d'avocats,cabinet d'avocats,firma hukum
22,faire la noce,faire la fête,berpesta; tetapi istilah-istilah ini juga bisa ditemukan di bahasa Prancis standar walaupun mungkin lebih jarang digunakan atau lebih banyak digunakan oleh orang tua
23,fœhn,sèche-cheveux,pengering rambut (hairdryer)
24,frouz,les Français,orang dari Prancis
25,un fonds,un terrain atau un champs,sebuah ladang
26,fourre,dossier,folder (map)
27,galetas,grenier,loteng
28,giratoire,rond-point,bundaran (seperti pada Bundaran H.I.
29,gouille,flaque,genangan air
30,huitante,quatre-vingts,delapan puluh
31,linge,serviette,handuk
32,maman de jour,assistante maternelle,asisten penitipan bayi
33,maturité,baccalauréat,ujian akhir sekolah SMA
34,natel,(téléphone) portable,telepon genggam
35,mutr,mère,ibu
36,nom de bleu!,nom de dieu!,di dalam nama Tuhan!/sialan!
37,nonante,quatre-vingts-dix,sembilan puluh
38,panosse,serpillière,kain pel
39,pive,pomme de pin,kon konifer (conifer cone)
40,poutzer,nettoyer,membersihkan
41,Procès verbal d'examen (PV),bulletin de note,kartu laportan
42,régie,agence immobilière,agen perumahan
43,royer,pleuvoir,hujan
44,septante,soixante-dix,tujuh puluh
45,services,couverts,alat pemotong
46,signofile/indicateur,clignotant,lampu sen
47,souper,dîner,makan malam
48,tablard,étagère,rak
49,talus,pente,lubang
50,uni (singkatan untuk université),fac (singkatan untuk faculté),universitas
51,votations,scrutin,voting (pemungutan suara)
52,vatr,pére,ayah
