,I l l i n o i s   S e n a t e,I l l i n o i s   S e n a t e . 1,I l l i n o i s   S e n a t e . 2
0,Didahului oleh:Alice Palmer,Senator Negara Bagian Illinois dari distrik ke-131997–2004,Diteruskan oleh:Kwame Raoul
1,Jabatan partai politik,Jabatan partai politik,Jabatan partai politik
2,Didahului oleh:Carol Moseley Braun,Calon Demokrat untuk Senator dari Illinois (Kelas 3)2004,Diteruskan oleh:Alexi Giannoulias
3,Didahului oleh:Harold Ford,Penyampai Pidato Utama Konvensi Nasional Demokrat2004,Diteruskan oleh:Mark Warner
4,Didahului oleh:John Kerry,"Calon presiden dari Partai Demokrat2008, 2012",Pejabat terkini
5,Senat Amerika Serikat,Senat Amerika Serikat,Senat Amerika Serikat
6,Didahului oleh:Peter Fitzgerald,Senator Amerika Serikat (Kelas 3) dari Illinois2005–2008 Menjabat bersama dengan: Dick Durbin,Diteruskan oleh:Roland Burris
7,Didahului oleh:George Allen,Ketua Subkomite Hubungan Luar Negeri Senat untuk Urusan Eropa2007–2008,Diteruskan oleh:Jeanne Shaheen
8,Jabatan politik,Jabatan politik,Jabatan politik
9,Didahului oleh:George W. Bush,Presiden Amerika Serikat2009–sekarang,Petahana
10,Jabatan diplomatik,Jabatan diplomatik,Jabatan diplomatik
11,Didahului oleh:Nicolas Sarkozy,Ketua Group of 82012,Diteruskan oleh:David Cameron
12,Penghargaan dan prestasi,Penghargaan dan prestasi,Penghargaan dan prestasi
13,Didahului oleh:Martti Ahtisaari,Penerima Hadiah Nobel Perdamaian2009,Diteruskan oleh:Liu Xiaobo
