,N o .,P o s .,N e g a r a,P e m a i n
0,1,GK,ENG,Dean Henderson (pinjaman dari Manchester United)
1,2,DF,FRA,Giulian Biancone
2,3,DF,ENG,Steve Cook
3,4,DF,ENG,Joe Worrall (kapten)
4,5,MF,BEL,Orel Mangala
5,6,MF,ENG,Jonjo Shelvey
6,7,DF,WAL,Neco Williams
7,8,MF,ENG,Jack Colback
8,9,FW,NGA,Taiwo Awoniyi
9,10,MF,ENG,Morgan Gibbs-White
10,11,MF,ENG,Jesse Lingard
11,13,GK,WAL,Wayne Hennessey
12,14,MF,ENG,Lewis O'Brien
13,15,DF,ENG,Harry Toffolo
14,16,FW,ENG,Sam Surridge
15,17,FW,ENG,Alex Mighten
16,18,MF,POR,Cafú
17,19,DF,SEN,Moussa Niakhaté
18,20,FW,WAL,Brennan Johnson
