,I n d o n e s i a,M a l a g a s i,I P A,I P A . 1
0,Bahasa Inggris,Anglisy,ãŋɡliʂ,ãŋɡliʂ
1,Ya,Eny,ˈʲenj,ˈʲenj
2,Tidak,"Tsia, Tsy[3]","tsi, tsʲ","tsi, tsʲ"
3,Halo! dan Apa kabarmu?,Manao ahoana!,"manaˈʷonə̥, manaˈonə̥","manaˈʷonə̥, manaˈonə̥"
4,Halo! (wilayah pedesaan),Salama!,saˈlamə̥,saˈlamə̥
5,"Aku baik, terima kasih.",Tsara fa misaotra.,ˈtsarə̥ fa mʲˈsoːtʂə̥,ˈtsarə̥ fa mʲˈsoːtʂə̥
6,Selamat tinggal!,Veloma!,veˈlumə̥,veˈlumə̥
7,Silakan,Azafady,azaˈfadʲ,azaˈfadʲ
8,Terima kasih,Misaotra,mʲˈsoːtʂa,mʲˈsoːtʂa
9,Terima kasih kembali,Tsisy fisaorana.,tsʲ ˈmisʲ fʲˈsoːranə̥,tsʲ ˈmisʲ fʲˈsoːranə̥
10,Permisi,Azafady (dengan lengan dan tangan menunjuk ke tanah),azaˈfadʲ,azaˈfadʲ
11,Maaf,Miala tsiny,mjala ˈtsinʲ,mjala ˈtsinʲ
12,Siapa?,Iza?,"ˈiːza, ˈiza","ˈiːza, ˈiza"
13,Apa?,Inona?,inːa,inːa
14,Kapan?,Rahoviana?,"roᶷˈvinə̥, rawˈvinə̥","roᶷˈvinə̥, rawˈvinə̥"
15,Di mana?,Aiza?,ajzə̥,ajzə̥
16,Mengapa?,Fa maninona?,fa maninːə̥,fa maninːə̥
17,Bagaimana?,Ahoana?,aˈʷonə̥,aˈʷonə̥
18,Berapa?,Firy?,ˈfirʲ,ˈfirʲ
19,Berapa banyak?,Ohatrinona?,ʷoˈtʂinːə̥,ʷoˈtʂinːə̥
20,Siapa namamu?,Iza ny anaranao?,iza njanaraˈnaw,iza njanaraˈnaw
21,Untuk,"Ho an'ny, atau ho an'i",wanːi,wanːi
22,Karena,Satria,saˈtʂi,saˈtʂi
23,Saya tidak mengerti.,"Tsy mazava, atau tsy azoko.",tsʲ mazavə̥,tsʲ mazavə̥
24,"Ya, saya mengerti.","Eny, mazava (atau azoko).",ʲenʲ mazavə̥,ʲenʲ mazavə̥
