,N a m a   d a l a m   b a h a s a   I n d o n e s i a,N a m a   d a l a m   b a h a s a   r e s m i,K e t e r a n g a n
0,Afganistan – Republik Islam Afganistan,Pashto: د افغانستان اسلامي جمهوریت Dari: جمهوری اسلامی افغانستان – افغانستان → Afgānestān – Jomhūrī-ye Eslāmī-ye Afgānestān Inggris: Islamic Emirate of Afghanistan,Secara de facto dikontrol oleh Keamiran Islam Afganistan
1,Afrika Selatan – Republik Afrika Selatan[3],Inggris: South Africa – Republic of South Africa Afrikaans: Suid-Afrika – Republiek van Suid-Afrika Xhosa: Mzantsi Afrika – iRiphabliki yomZantsi Afrika Zulu: Ningizimu Afrika – iRiphabliki yaseNingizimu Afrika Ndbele: Sewula Afrika – iRiphabliki yeSewula Afrika Sotho Utara: Afrika-Borwa – Rephaboliki ya Afrika-Borwa Sotho: Afrika Borwa – Rephaboliki ya Afrika Borwa Tswana: Aforika Borwa – Rephaboliki ya Aforika Borwa Swati: Ningizimu Afrika – iRiphabhulikhi yeNingizimu Afrika Venda: Afurika Tshipembe – Riphabuḽiki ya Afurika Tshipembe Tsonga: Afrika Dzonga – Riphabliki ra Afrika Dzonga,
2,Afrika Tengah – Republik Afrika Tengah[4],Prancis: Centrafrique - République Centrafricaine Sango: Bêafrîka - Ködörösêse tî Bêafrîka Inggris: Central Africa,
3,Albania – Republik Albania,Albania: Shqipëria – Republika e Shqipërise Inggris: Albania – Republic of Albania,
4,Aljazair – Republik Demokratis Rakyat Aljazair,Arab: الجمهورية الجزائرية الديمقراطية الشعبية – الجزائر → Al Jazā'ir – Al Jumhūrīyah al Jazā'irīyah ad Dīmuqrāţīyah ash Sha‘bīyah Berber: Dzayer – Tagduda Tadzayrit Tugduyant Tagherfant Inggris: Algeria – People's Democratic Republic of Algeria,
5,Amerika Serikat,Inggris: United States – United States of America,"Amerika Serikat memiliki 13 wilayah dependensi, diantaranya:  Guam Inggris: Guam Chamorro: Guåhån  Kepulauan Mariana Utara – Persemakmuran Kepulauan Mariana Utara Inggris: Northern Mariana Islands – Commonwealth of the Northern Mariana Islands Chamorro: Notte Mariånas – Sankattan Siha Na Islas Mariånas Caroline: Commonwealth Téél Falúw kka Efáng llól Marianas  Puerto Riko – Persemakmuran Puerto Riko Inggris: Puerto Rico – Commonwealth of Puerto Rico Spanyol: Puerto Rico – Estado Libre Asociado de Puerto Rico  Samoa Amerika Inggris: American Samoa Samoa: Amelika Sāmoa  Kepulauan Virgin Amerika Serikat Inggris: Virgin Islands of the United States Tidak berpenghuni:  Tepi Bajo Nuevo  Pulau Baker  Pulau Howland  Pulau Jarvis  Atol Johnston  Karang Kingman  Atol Midway  Pulau Navassa  Atol Palmyra  Tepi Serranilla  Pulau Wake"
6,Andorra – Kepangeranan Andorra,Katala: Andorra – Principat d’Andorra Inggris: Andorra – Principality of Andorra,
7,Angola – Republik Angola,Portugis: Angola – República de Angola Inggris: Republic of Angola,
8,Antigua dan Barbuda,Inggris: Antigua and Barbuda,
9,Arab Saudi – Kerajaan Arab Saudi,Arab: المملكة العربيّة السّعوديّة – السعودية → As Su‘ūdīyah – Al Mamlakah al ‘Arabīyah as Su‘ūdīyah Inggris: Saudi Arabia – Kingdom of Saudi Arabia (KSA),
10,Argentina – Republik Argentina[5],Spanyol: Argentina – República Argentina Inggris: Argentina – Argentine Republic,
11,Armenia – Republik Armenia,Armenia: Հայաստան – Հայաստանի Հանրապետություն → Hayastan – Hayastani Hanrapetut’yun Inggris: Armenia – Republic of Armenia,
12,Australia – Persemakmuran Australia,Inggris: Australia – Commonwealth of Australia,Australia adalah negara federasi yang terdiri atas enam negara bagian dan 10 wilayah. Wilayah eksternal Australia meliputi:  Pulau Natal – Teritori Pulau Natal Inggris: Christmas Island – Territory of Christmas Island  Kepulauan Cocos (Keeling) – Teritori Kepulauan Cocos (Keeling) Inggris: Cocos (Keeling) Islands – Territory of the Cocos (Keeling) Islands Melayu Cocos: Kepulauan Cocos (Keeling) - Wilayah Kepulauan Cocos (Keeling)  Pulau Norfolk – Teritori Pulau Norfolk Inggris: Norfolk Island – Territory of Norfolk Island Norfuk: Norf'k Ailen – Teratri of Norf'k Ailen Tidak berpenghuni:  Kepulauan Ashmore dan Cartier  Wilayah Antartika Australia  Kepulauan Laut Koral  Pulau Heard dan Kepulauan McDonald
13,Austria – Republik Austria,Jerman: Österreich – Republik Österreich Inggris: Austria – Republic of Austria,
14,Azerbaijan – Republik Azerbaijan[6],Azeri: Azərbaycan – Azərbaycan Respublikası Inggris: Azerbaijan – Republic of Azerbaijan,
15,B,B,B
16,Bahama – Persemakmuran Bahama,Inggris: The Bahamas – Commonwealth of The Bahamas,
17,Bahrain – Kerajaan Bahrain,Arab: مملكة البحرين – البحرين → Al Baḩrayn – Mamlakat al Baḩrayn Inggris: Bahrain – Kingdom of Bahrain,
18,Bangladesh – Republik Rakyat Bangladesh,Bengali: বাংলাদেশ – গণপ্রজাতন্ত্রী বাংলাদেশ → Bāṁlādesh – Gaṇaprajātantrī Bāṁlādesh Inggris: Bangladesh – People's Republic of Bangladesh,
19,Barbados,Inggris: Barbados,
20,Belanda – Kerajaan Belanda,Belanda: Nederland – Koninkrijk der Nederlanden Inggris: Netherlands – Kingdom of Netherlands,Kerajaan Belanda terdiri atas empat negara konstituen yang salah satunya adalah negara Belanda itu sendiri. Tiga negara konstituen lainnya adalah:  Aruba Belanda dan Papiamento: Aruba  Curaçao – Negara Curaçao Belanda: Curaçao – Land Curaçao Papiamento: Kòrsou – Pais Kòrsou  Sint Maarten Belanda dan Inggris: Sint Maarten
21,Belarus – Republik Belarus,Belarus: Беларусь – Рэспубліка Беларусь → Biełaruś – Respublika Biełaruś Rusia: Беларусь – Республика Беларусь → Belarus' – Respublika Belarus' Inggris: Belarus – Republic of Belarus,
22,Belgia – Kerajaan Belgia,Belanda: België – Koninkrijk België Prancis: Belgique – Royaume de Belgique Jerman: Belgien – Königreich Belgien Inggris: Belgium – Kingdom of Belgium,
23,Belize–Belize,Inggris: Belize,
24,Benin – Republik Benin,Prancis: Bénin – République du Bénin Inggris: Benin – Republic of Benin,
25,Bhutan – Kerajaan Bhutan,Dzongkha: འབྲུག་ཡུལ་ – འབྲུག་རྒྱལ་ཁབ་ → Druk Yul – Druk Gyalkhap Inggris: Bhutan – Kingdom of Bhutan,
26,Bolivia – Negara Plurinasional Bolivia,Spanyol: Bolivia – Estado Plurinacional de Bolivia Quechua: Bulibiya – Buliwya Achka Nasyun Mama Llaqta Aymara: Wuliwya – Wuliwya Suyu Guaraní: Volívia – Tetã Blúrinasionál Volívia Inggris: Bolivia – Plurinational of Bolivia,
27,Bosnia dan Herzegovina[7],Bosnia: Bosna i Hercegovina Kroasia: Bosna i Hercegovina Serbia: Босна и Херцеговина → Bosna i Hercegovina Inggris: Bosnia and Herzegovina,
28,Botswana – Republik Botswana,Tswana: Botswana – Lefatshe la Botswana Inggris: Botswana – Republic of Botswana,
29,Brasil – Republik Federasi Brasil,Portugis: Brasil – República Federativa do Brasil Inggris: Republic Federative of Brazil,
